news_source,agree_disagree,bias_rating,news_source_internal_url,agree,disagree,perc_agree,rating_num
ABC 47 WMDT,agree disagree 54/69,center,https://www.allsides.com/news-source/abc-47-wmdt-media-bias,54,69,0.43902439024390244,3.0
ABC 5 WEWS,agree disagree 74/80,center,https://www.allsides.com/news-source/abc-5-wews-media-bias,74,80,0.4805194805194805,3.0
ABC 57,agree disagree 58/66,center,https://www.allsides.com/news-source/abc-57-media-bias,58,66,0.46774193548387094,3.0
ABC 6,agree disagree 44/48,center,https://www.allsides.com/news-source/abc-6-media-bias,44,48,0.4782608695652174,3.0
ABC 6 KAAL,agree disagree 56/68,center,https://www.allsides.com/news-source/abc-6-kaal-media-bias,56,68,0.45161290322580644,3.0
ABC 6 WPVI,agree disagree 65/61,center,https://www.allsides.com/news-source/abc-6-wpvi-media-bias,65,61,0.5158730158730159,3.0
ABC 7 Chicago,agree disagree 32/22,center,https://www.allsides.com/news-source/abc-7-chicago-media-bias,32,22,0.5925925925925926,3.0
ABC 7 KETV,agree disagree 64/70,center,https://www.allsides.com/news-source/abc-7-ketv-media-bias,64,70,0.47761194029850745,3.0
ABC 7 KVIA,agree disagree 56/60,center,https://www.allsides.com/news-source/abc-7-kvia-media-bias,56,60,0.4827586206896552,3.0
ABC 7 New York,agree disagree 67/69,center,https://www.allsides.com/news-source/abc-7-new-york-media-bias,67,69,0.49264705882352944,3.0
ABC 7 WXYZ,agree disagree 61/70,center,https://www.allsides.com/news-source/abc-7-wxyz-media-bias,61,70,0.46564885496183206,3.0
ABC 8 KLKN,agree disagree 55/62,center,https://www.allsides.com/news-source/abc-8-klkn-media-bias,55,62,0.4700854700854701,3.0
ABC 8 WRIC,agree disagree 59/58,center,https://www.allsides.com/news-source/abc-8-wric-media-bias,59,58,0.5042735042735043,3.0
ABC 9 WMUR,agree disagree 47/60,center,https://www.allsides.com/news-source/abc-9-wmur-media-bias,47,60,0.4392523364485981,3.0
ABC News (Online),agree disagree 44126/21797,left-center,https://www.allsides.com/news-source/abc-news-media-bias,44126,21797,0.6693566736950685,2.0
ABC News 10 Vermont,agree disagree 28/37,center,https://www.allsides.com/news-source/abc-news-10-vermont-media-bias,28,37,0.4307692307692308,3.0
ABC13 Houston,agree disagree 54/51,center,https://www.allsides.com/news-source/abc13-houston-media-bias,54,51,0.5142857142857142,3.0
ABC4 Utah,agree disagree 907/638,center,https://www.allsides.com/news-source/ktvx,907,638,0.5870550161812298,3.0
Aberdeen News,agree disagree 84/80,center,https://www.allsides.com/news-source/aberdeen-news-media-bias,84,80,0.5121951219512195,3.0
Above The Law,agree disagree 463/336,left-center,https://www.allsides.com/news-source/above-law-media-bias,463,336,0.5794743429286608,2.0
Abridge News,agree disagree 569/414,allsides,https://www.allsides.com/news-source/abridge-news-media-bias,569,414,0.5788402848423194,
Accuracy in Media,agree disagree 1136/855,right,https://www.allsides.com/news-source/accuracy-media,1136,855,0.5705675539929683,5.0
ACLU,agree disagree 2674/3939,left-center,https://www.allsides.com/news-source/american-civil-liberties-union,2674,3939,0.4043550582186602,2.0
Action News Jax,agree disagree 76/70,center,https://www.allsides.com/news-source/action-news-jax-media-bias,76,70,0.5205479452054794,3.0
Adam Serwer,agree disagree 144/91,left,https://www.allsides.com/news-source/adam-serwer-media-bias,144,91,0.6127659574468085,1.0
Addison County Independent,agree disagree 95/103,center,https://www.allsides.com/news-source/addison-county-independent-media-bias,95,103,0.4797979797979798,3.0
Adventist Today,agree disagree 98/104,left-center,https://www.allsides.com/news-source/adventist-today-media-bias,98,104,0.48514851485148514,2.0
Advocate,agree disagree 105/135,left-center,https://www.allsides.com/news-source/advocate-media-bias-0,105,135,0.4375,2.0
AframNews,agree disagree 131/99,left,https://www.allsides.com/news-source/aframnews-media-bias,131,99,0.5695652173913044,1.0
African American Conservatives,agree disagree 119/173,right,https://www.allsides.com/news-source/african-american-conservatives-media-bias,119,173,0.4075342465753425,5.0
African American Intellectual History Society,agree disagree 96/61,left,https://www.allsides.com/news-source/african-american-intellectual-history-society-media-bias,96,61,0.6114649681528662,1.0
Afro,agree disagree 121/85,left,https://www.allsides.com/news-source/afro-media-bias,121,85,0.587378640776699,1.0
Aidanne DePoy,agree disagree 155/108,left,https://www.allsides.com/news-source/aidanne-depoy-media-bias,155,108,0.5893536121673004,1.0
Aiken Standard,agree disagree 73/64,center,https://www.allsides.com/news-source/aiken-standard-media-bias,73,64,0.5328467153284672,3.0
AJ+,agree disagree 908/368,left,https://www.allsides.com/news-source/aj-media-bias,908,368,0.7115987460815048,1.0
Akron Beacon Journal,agree disagree 84/85,center,https://www.allsides.com/news-source/akron-beacon-journal-media-bias,84,85,0.4970414201183432,3.0
Al Cardenas,agree disagree 553/540,right,https://www.allsides.com/news-source/al-cardenas,553,540,0.505946935041171,5.0
Al Jazeera,agree disagree 6040/8347,left-center,https://www.allsides.com/news-source/al-jazeera-media-bias,6040,8347,0.41982345172725377,2.0
AL.com,agree disagree 152/218,center,https://www.allsides.com/news-source/alcom,152,218,0.41081081081081083,3.0
Alabama News Center,agree disagree 44/54,center,https://www.allsides.com/news-source/alabama-news-center-media-bias,44,54,0.4489795918367347,3.0
Alabama News Network,agree disagree 70/61,center,https://www.allsides.com/news-source/alabama-news-network-media-bias,70,61,0.5343511450381679,3.0
Alabama Political Reporter,agree disagree 58/56,left-center,https://www.allsides.com/news-source/alabama-political-reporter-media-bias,58,56,0.5087719298245614,2.0
Alamosa News,agree disagree 87/73,center,https://www.allsides.com/news-source/alamosa-news-media-bias,87,73,0.54375,3.0
Alan Dershowitz,agree disagree 296/744,right-center,https://www.allsides.com/news-source/alan-dershowitz-media-bias,296,744,0.2846153846153846,4.0
Alan Z. Rozenshtein,agree disagree 69/70,left-center,https://www.allsides.com/news-source/alan-z-rozenshtein-media-bias,69,70,0.49640287769784175,2.0
Alaska Beacon,agree disagree 36/32,center,https://www.allsides.com/news-source/alaska-beacon-media-bias,36,32,0.5294117647058824,3.0
Alaska Commons,agree disagree 57/47,center,https://www.allsides.com/news-source/alaska-commons-media-bias,57,47,0.5480769230769231,3.0
Alaska Native News,agree disagree 48/48,center,https://www.allsides.com/news-source/alaska-native-news-media-bias,48,48,0.5,3.0
Alaska Public Media,agree disagree 69/150,center,https://www.allsides.com/news-source/alaska-public-media-media-bias,69,150,0.3150684931506849,3.0
Alaska Watchman,agree disagree 62/91,right,https://www.allsides.com/news-source/alaska-watchman-media-bias,62,91,0.40522875816993464,5.0
Alaska's News Source KTUU/KYES,agree disagree 54/64,center,https://www.allsides.com/news-source/alaskas-news-source-ktuukyes-media-bias,54,64,0.4576271186440678,3.0
Albany Democrat-Herald,agree disagree 63/62,center,https://www.allsides.com/news-source/albany-democrat-herald-media-bias,63,62,0.504,3.0
Albert Lea Tribune,agree disagree 73/75,center,https://www.allsides.com/news-source/albert-lea-tribune-media-bias,73,75,0.49324324324324326,3.0
Albert Mohler,agree disagree 67/73,center,https://www.allsides.com/news-source/albert-mohler-media-bias,67,73,0.4785714285714286,3.0
Albuquerque Journal,agree disagree 87/145,center,https://www.allsides.com/news-source/albuquerque-journal-media-bias,87,145,0.375,3.0
Alex Pareene,agree disagree 104/95,left-center,https://www.allsides.com/news-source/alex-pareene-media-bias,104,95,0.5226130653266332,2.0
Alice Sheehan,agree disagree 65/74,center,https://www.allsides.com/news-source/alice-sheehan-media-bias,65,74,0.4676258992805755,3.0
All About Arizona News,agree disagree 36/38,center,https://www.allsides.com/news-source/all-about-arizona-news-media-bias,36,38,0.4864864864864865,3.0
Alleghany News,agree disagree 66/58,center,https://www.allsides.com/news-source/alleghany-news-media-bias,66,58,0.532258064516129,3.0
AllSides,agree disagree 4617/1913,allsides,https://www.allsides.com/news-source/allsides,4617,1913,0.7070444104134762,
AllSides Staff,agree disagree 465/294,allsides,https://www.allsides.com/news-source/allsides-staff-media-bias,465,294,0.6126482213438735,
Allysia Finley (Wall Street Journal),agree disagree 931/943,right,https://www.allsides.com/news-source/allysia-finley,931,943,0.4967982924226254,5.0
Alpha News,agree disagree 191/183,right,https://www.allsides.com/news-source/alpha-news-media-bias,191,183,0.5106951871657754,5.0
AlterNet,agree disagree 16741/4051,left,https://www.allsides.com/news-source/alternet-media-bias,16741,4051,0.8051654482493267,1.0
Alyssa Milano,agree disagree 52/18,left,https://www.allsides.com/news-source/alyssa-milano-media-bias,52,18,0.7428571428571429,1.0
Amarillo Globe-News,agree disagree 39/34,center,https://www.allsides.com/news-source/amarillo-globe-news-media-bias,39,34,0.5342465753424658,3.0
America's 1st Freedom,agree disagree 82/139,right-center,https://www.allsides.com/news-source/americas-1st-freedom-media-bias,82,139,0.37104072398190047,4.0
American Conservation Coalition,agree disagree 67/74,right-center,https://www.allsides.com/news-source/american-conservation-coalition-media-bias,67,74,0.475177304964539,4.0
American Conservative Union,agree disagree 1258/700,right,https://www.allsides.com/news-source/american-conservative-union,1258,700,0.6424923391215526,5.0
American Enterprise Institute,agree disagree 2050/1187,right-center,https://www.allsides.com/news-source/american-enterprise-institute,2050,1187,0.6333024405313562,4.0
American Greatness,agree disagree 697/464,right,https://www.allsides.com/news-source/american-greatness-media-bias,697,464,0.6003445305770887,5.0
American Press,agree disagree 103/104,left-center,https://www.allsides.com/news-source/american-press,103,104,0.4975845410628019,2.0
American Thinker,agree disagree 2230/1279,right,https://www.allsides.com/news-source/american-thinker,2230,1279,0.6355086919350242,5.0
American Values Coalition,agree disagree 65/66,center,https://www.allsides.com/news-source/american-values-coalition-media-bias,65,66,0.4961832061068702,3.0
Americans for Democratic Action,agree disagree 1016/419,left,https://www.allsides.com/news-source/americans-democratic-action,1016,419,0.7080139372822299,1.0
Americans for Tax Reform,agree disagree 889/756,right,https://www.allsides.com/news-source/americans-tax-reform,889,756,0.5404255319148936,5.0
Amnesty International,agree disagree 773/1216,left-center,https://www.allsides.com/news-source/amnesty-international,773,1216,0.3886375062845651,2.0
Ana Marie Cox,agree disagree 123/135,left-center,https://www.allsides.com/news-source/ana-marie-cox-media-bias,123,135,0.47674418604651164,2.0
Anand Giridharadas,agree disagree 125/66,left,https://www.allsides.com/news-source/anand-giridharadas-media-bias,125,66,0.6544502617801047,1.0
Anchorage Daily News,agree disagree 139/163,center,https://www.allsides.com/news-source/anchorage-daily-news,139,163,0.4602649006622517,3.0
Anchorage Press,agree disagree 53/61,center,https://www.allsides.com/news-source/anchorage-press-media-bias,53,61,0.4649122807017544,3.0
Anderson Cooper,agree disagree 114/128,left-center,https://www.allsides.com/news-source/anderson-cooper-media-bias,114,128,0.47107438016528924,2.0
Anderson Independent-Mail,agree disagree 72/66,center,https://www.allsides.com/news-source/anderson-independent-mail-media-bias,72,66,0.5217391304347826,3.0
Andreas Raduege,agree disagree 190/126,left,https://www.allsides.com/news-source/andreas-raduege-media-bias,190,126,0.6012658227848101,1.0
Andrew C. McCarthy,agree disagree 153/220,right,https://www.allsides.com/news-source/andrew-c-mccarthy-media-bias,153,220,0.4101876675603217,5.0
Andrew Giuliani,agree disagree 133/182,right-center,https://www.allsides.com/news-source/andrew-giuliani-media-bias,133,182,0.4222222222222222,4.0
Andrew Napolitano,agree disagree 1077/1331,right,https://www.allsides.com/news-source/andrew-napolitano,1077,1331,0.4472591362126246,5.0
Andrew Shannon,agree disagree 52/26,left,https://www.allsides.com/news-source/andrew-shannon-media-bias,52,26,0.6666666666666666,1.0
Andrew Stuttaford,agree disagree 89/110,right-center,https://www.allsides.com/news-source/andrew-stuttaford-media-bias,89,110,0.4472361809045226,4.0
Andrew Sullivan,agree disagree 398/460,right-center,https://www.allsides.com/news-source/andrew-sullivan-media-bias,398,460,0.46386946386946387,4.0
Andrew Sullivan,agree disagree 51/68,left-center,https://www.allsides.com/news-source/andrew-sullivan-media-bias-0,51,68,0.42857142857142855,2.0
Andrew Weinzierl,agree disagree 181/159,left-center,https://www.allsides.com/news-source/andrew-weinzierl-media-bias,181,159,0.5323529411764706,2.0
Andrew Yang,agree disagree 406/349,left-center,https://www.allsides.com/news-source/andrew-yang-media-bias,406,349,0.5377483443708609,2.0
Andy Gorel,agree disagree 85/97,center,https://www.allsides.com/news-source/andy-gorel-media-bias,85,97,0.46703296703296704,3.0
Andy Meek,agree disagree 128/157,left-center,https://www.allsides.com/news-source/andy-meek-media-bias,128,157,0.44912280701754387,2.0
Andy Ngo,agree disagree 528/709,right-center,https://www.allsides.com/news-source/andy-ngo-media-bias,528,709,0.42683912691996767,4.0
Andy Stanley,agree disagree 57/65,center,https://www.allsides.com/news-source/andy-stanley-media-bias,57,65,0.4672131147540984,3.0
Ann Coulter,agree disagree 2286/622,right,https://www.allsides.com/news-source/ann-coulter,2286,622,0.7861072902338377,5.0
Annafi Wahed,agree disagree 431/410,left-center,https://www.allsides.com/news-source/annafi-wahed-media-bias,431,410,0.5124851367419738,2.0
Anne Applebaum,agree disagree 57/64,center,https://www.allsides.com/news-source/anne-applebaum-media-bias,57,64,0.47107438016528924,3.0
Anthony LaMesa,agree disagree 59/51,center,https://www.allsides.com/news-source/anthony-lamesa-media-bias,59,51,0.5363636363636364,3.0
Antonio Ferme,agree disagree 132/107,center,https://www.allsides.com/news-source/antonio-ferme-media-bias,132,107,0.5523012552301255,3.0
Antony Blinken,agree disagree 98/182,left-center,https://www.allsides.com/news-source/antony-blinken-media-bias,98,182,0.35,2.0
Apple News,agree disagree 81/121,left-center,https://www.allsides.com/news-source/apple-news-media-bias,81,121,0.400990099009901,2.0
April Gardner,agree disagree 101/80,center,https://www.allsides.com/news-source/april-gardner-media-bias,101,80,0.5580110497237569,3.0
Aquinas College Saint,agree disagree 1128/772,left,https://www.allsides.com/news-source/aquinas-college-saint,1128,772,0.5936842105263158,1.0
Arc Digital,agree disagree 124/136,center,https://www.allsides.com/news-source/arc-digital-media-bias,124,136,0.47692307692307695,3.0
Argus Leader,agree disagree 55/60,center,https://www.allsides.com/news-source/argus-leader-media-bias,55,60,0.4782608695652174,3.0
Ari Hoffman,agree disagree 69/128,right,https://www.allsides.com/news-source/ari-hoffmann-media-bias,69,128,0.350253807106599,5.0
Arizona Daily Star: tucson.com,agree disagree 62/72,center,https://www.allsides.com/news-source/arizona-daily-star-tucsoncom-media-bias,62,72,0.4626865671641791,3.0
Arizona Mirror,agree disagree 94/118,center,https://www.allsides.com/news-source/arizona-mirror-media-bias,94,118,0.44339622641509435,3.0
Arizona's Family,agree disagree 32/37,center,https://www.allsides.com/news-source/arizonas-family-media-bias,32,37,0.463768115942029,3.0
Ark Valley Voice,agree disagree 45/47,center,https://www.allsides.com/news-source/ark-valley-voice-media-bias,45,47,0.4891304347826087,3.0
Arkadi Gerney,agree disagree 382/357,left-center,https://www.allsides.com/news-source/arkadi-gerney,382,357,0.516914749661705,2.0
Arkansas Business,agree disagree 43/49,center,https://www.allsides.com/news-source/arkansas-business-media-bias,43,49,0.4673913043478261,3.0
Arkansas Democrat-Gazette,agree disagree 1263/986,left,https://www.allsides.com/news-source/arkansas-democrat-gazette,1263,986,0.5615829257447754,1.0
Ars Technica,agree disagree 136/219,center,https://www.allsides.com/news-source/ars-technica-media-bias,136,219,0.38309859154929576,3.0
Asbury Park Press,agree disagree 59/84,center,https://www.allsides.com/news-source/asbury-park-press-media-bias,59,84,0.4125874125874126,3.0
Associated Press,agree disagree 37659/30246,left-center,https://www.allsides.com/news-source/associated-press-media-bias,37659,30246,0.5545836094543848,2.0
Associated Press Fact Check,agree disagree 7418/8942,left-center,https://www.allsides.com/news-source/ap-fact-check-media-bias,7418,8942,0.4534229828850856,2.0
Association for Psychological Science,agree disagree 930/844,center,https://www.allsides.com/news-source/association-psychological-science,930,844,0.52423900789177,3.0
Atlanta Black Star,agree disagree 211/280,left-center,https://www.allsides.com/news-source/atlanta-black-star-media-bias,211,280,0.42973523421588594,2.0
Atlanta Journal-Constitution,agree disagree 1327/1200,left-center,https://www.allsides.com/news-source/atlanta-journal-constitution,1327,1200,0.5251286110011871,2.0
Atlas Network,agree disagree 622/555,right,https://www.allsides.com/news-source/atlas-network,622,555,0.5284621920135939,5.0
AtlasOne,agree disagree 383/487,right-center,https://www.allsides.com/news-source/atlasone,383,487,0.44022988505747124,4.0
Attitude Magazine,agree disagree 73/68,left-center,https://www.allsides.com/news-source/attitude-magazine-media-bias,73,68,0.5177304964539007,2.0
Augusta Free Press,agree disagree 49/53,left-center,https://www.allsides.com/news-source/augusta-free-press-media-bias,49,53,0.4803921568627451,2.0
Austin American-Statesman,agree disagree 1145/926,left-center,https://www.allsides.com/news-source/austin-american-statesman,1145,926,0.5528730082085949,2.0
Austin American-Statesman,agree disagree 31/40,center,https://www.allsides.com/news-source/austin-american-statesman-media-bias,31,40,0.43661971830985913,3.0
Austin Daily Herald,agree disagree 65/64,center,https://www.allsides.com/news-source/austin-daily-herald-media-bias,65,64,0.5038759689922481,3.0
Avanti Giridharan,agree disagree 143/153,center,https://www.allsides.com/news-source/avanti-giridharan-media-bias,143,153,0.4831081081081081,3.0
Avenue News,agree disagree 49/55,center,https://www.allsides.com/news-source/avenue-news-media-bias,49,55,0.47115384615384615,3.0
Avoyelles Journal,agree disagree 49/41,center,https://www.allsides.com/news-source/avoyelles-journal-media-bias,49,41,0.5444444444444444,3.0
Axios,agree disagree 9216/10176,left-center,https://www.allsides.com/news-source/axios,9216,10176,0.4752475247524752,2.0
AZ Central,agree disagree 405/725,center,https://www.allsides.com/news-source/az-central-media-bias,405,725,0.3584070796460177,3.0
Babylon Bee (Humor),agree disagree 1045/523,right-center,https://www.allsides.com/news-source/babylon-bee-media-bias,1045,523,0.6664540816326531,4.0
Baltimore Sun,agree disagree 306/423,center,https://www.allsides.com/news-source/baltimore-sun,306,423,0.41975308641975306,3.0
Bangor Daily News,agree disagree 101/110,left-center,https://www.allsides.com/news-source/bangor-daily-news-media-bias,101,110,0.4786729857819905,2.0
Baptist News Global,agree disagree 76/102,left-center,https://www.allsides.com/news-source/baptist-news-global-media-bias,76,102,0.42696629213483145,2.0
Baptist Press,agree disagree 110/74,center,https://www.allsides.com/news-source/baptist-press-media-bias,110,74,0.5978260869565217,3.0
Baptist Standard,agree disagree 88/64,center,https://www.allsides.com/news-source/baptist-standard-media-bias,88,64,0.5789473684210527,3.0
Bari Weiss,agree disagree 401/252,center,https://www.allsides.com/news-source/bari-weiss-media-bias,401,252,0.6140888208269525,3.0
Barnstable Patriot,agree disagree 751/793,center,https://www.allsides.com/news-source/barnstable-patriot,751,793,0.48639896373056996,3.0
Barron's,agree disagree 126/115,center,https://www.allsides.com/news-source/barrons-media-bias,126,115,0.5228215767634855,3.0
Bartlesville Examiner-Enterprise,agree disagree 44/50,center,https://www.allsides.com/news-source/bartlesville-examiner-enterprise-media-bias,44,50,0.46808510638297873,3.0
Bay to Bay News,agree disagree 44/48,center,https://www.allsides.com/news-source/bay-bay-news-media-bias,44,48,0.4782608695652174,3.0
BBC News,agree disagree 36036/31912,center,https://www.allsides.com/news-source/bbc-news-media-bias,36036,31912,0.5303467357390946,3.0
Bearing Drift,agree disagree 799/781,right,https://www.allsides.com/news-source/bearing-drift,799,781,0.5056962025316456,5.0
Beaumont Enterprise,agree disagree 70/91,center,https://www.allsides.com/news-source/beaumont-enterprise-media-bias,70,91,0.43478260869565216,3.0
Beaver County Times,agree disagree 43/39,center,https://www.allsides.com/news-source/beaver-county-times-media-bias,43,39,0.524390243902439,3.0
Bella Jasper,agree disagree 136/128,left-center,https://www.allsides.com/news-source/bella-jasper-media-bias,136,128,0.5151515151515151,2.0
Belleville News-Democrat,agree disagree 51/53,center,https://www.allsides.com/news-source/belleville-news-democrat-media-bias,51,53,0.49038461538461536,3.0
Ben Sargent (cartoonist),agree disagree 425/333,left,https://www.allsides.com/news-source/ben-sargent-cartoonist,425,333,0.5606860158311345,1.0
Ben Shapiro,agree disagree 3639/1529,right,https://www.allsides.com/news-source/ben-shapiro,3639,1529,0.704140866873065,5.0
Ben Stein,agree disagree 916/678,right-center,https://www.allsides.com/news-source/ben-stein,916,678,0.5746549560853199,4.0
Bergen Record (northjersey.com),agree disagree 61/69,left-center,https://www.allsides.com/news-source/bergen-record-northjerseycom-media-bias,61,69,0.46923076923076923,2.0
Bernie Goldberg,agree disagree 153/163,right-center,https://www.allsides.com/news-source/bernie-goldberg-media-bias,153,163,0.48417721518987344,4.0
BET,agree disagree 412/619,left-center,https://www.allsides.com/news-source/bet-media-bias,412,619,0.39961202715809896,2.0
Beth Ballentine,agree disagree 491/585,center,https://www.allsides.com/news-source/beth-ballentine,491,585,0.4563197026022305,3.0
Beth Hicks,agree disagree 122/200,right,https://www.allsides.com/news-source/beth-hicks-media-bias,122,200,0.37888198757763975,5.0
Better Government Association,agree disagree 117/165,center,https://www.allsides.com/news-source/better-government-association-media-bias,117,165,0.4148936170212766,3.0
Beyond Today,agree disagree 56/127,right,https://www.allsides.com/news-source/beyond-today-media-bias,56,127,0.30601092896174864,5.0
Biblical Gender Roles,agree disagree 314/226,right,https://www.allsides.com/news-source/biblical-gender-roles-media-bias,314,226,0.5814814814814815,5.0
Biblical Sexology,agree disagree 242/214,right,https://www.allsides.com/news-source/biblical-sexology-media-bias,242,214,0.5307017543859649,5.0
Big Island Now News,agree disagree 30/30,center,https://www.allsides.com/news-source/big-island-now-news-media-bias,30,30,0.5,3.0
Bill de Blasio,agree disagree 65/159,left-center,https://www.allsides.com/news-source/bill-de-blasio-media-bias,65,159,0.29017857142857145,2.0
Billings Gazette,agree disagree 37/42,center,https://www.allsides.com/news-source/billings-gazette-media-bias-0,37,42,0.46835443037974683,3.0
Billings Gazette,agree disagree 57/59,center,https://www.allsides.com/news-source/billings-gazette-media-bias,57,59,0.49137931034482757,3.0
Billy Binion,agree disagree 401/333,center,https://www.allsides.com/news-source/billy-binion,401,333,0.5463215258855586,3.0
Bing News,agree disagree 78/118,left-center,https://www.allsides.com/news-source/bing-news-media-bias,78,118,0.3979591836734694,2.0
Bipartisan Policy Center,agree disagree 45/47,center,https://www.allsides.com/news-source/bipartisan-policy-center-media-bias-0,45,47,0.4891304347826087,3.0
Birmingham Live,agree disagree 4/3,center,https://www.allsides.com/news-source/birmingham-live-media-bias,4,3,0.5714285714285714,3.0
Bizpac Review,agree disagree 252/227,right,https://www.allsides.com/news-source/bizpac-review-media-bias,252,227,0.5260960334029228,5.0
Black Agenda Report,agree disagree 129/76,left,https://www.allsides.com/news-source/black-agenda-report-media-bias,129,76,0.6292682926829268,1.0
Black Community News,agree disagree 54/127,right,https://www.allsides.com/news-source/black-community-news-media-bias,54,127,0.2983425414364641,5.0
Black Enterprise,agree disagree 191/294,left-center,https://www.allsides.com/news-source/black-enterprise-media-bias,191,294,0.3938144329896907,2.0
Black News,agree disagree 97/50,left,https://www.allsides.com/news-source/black-news-media-bias,97,50,0.6598639455782312,1.0
Black News Channel,agree disagree 55/61,left-center,https://www.allsides.com/news-source/black-news-channel-media-bias,55,61,0.47413793103448276,2.0
Blavity,agree disagree 104/50,left,https://www.allsides.com/news-source/blavity-media-bias,104,50,0.6753246753246753,1.0
Block Club Chicago,agree disagree 236/147,left,https://www.allsides.com/news-source/book-club-chicago-media-bias,236,147,0.6161879895561357,1.0
Bloomberg,agree disagree 18692/23890,left-center,https://www.allsides.com/news-source/bloomberg-media-bias,18692,23890,0.43896482081630733,2.0
Blue Virginia,agree disagree 1009/689,left,https://www.allsides.com/news-source/blue-virginia,1009,689,0.5942285041224971,1.0
Bluefield Daily Telegraph,agree disagree 51/55,center,https://www.allsides.com/news-source/bluefield-daily-telegraph-media-bias,51,55,0.4811320754716981,3.0
Bluffton Icon,agree disagree 37/30,center,https://www.allsides.com/news-source/bluffton-icon-media-bias,37,30,0.5522388059701493,3.0
Bob Barr,agree disagree 122/132,right,https://www.allsides.com/news-source/bob-barr-media-bias,122,132,0.48031496062992124,5.0
Bob Gorrell (cartoonist),agree disagree 424/337,right,https://www.allsides.com/news-source/bob-gorrell-cartoonist,424,337,0.557161629434954,5.0
Boing Boing,agree disagree 1148/749,left,https://www.allsides.com/news-source/boing-boing,1148,749,0.6051660516605166,1.0
Boise dev,agree disagree 35/36,center,https://www.allsides.com/news-source/boise-dev-media-bias,35,36,0.49295774647887325,3.0
Boise State Public Radio,agree disagree 35/75,center,https://www.allsides.com/news-source/boise-state-public-radio-media-bias,35,75,0.3181818181818182,3.0
