Date,Title,Bias Rating
Mar 11 2024,Exclusive: Russia producing three times more artillery shells than US and Europe for Ukraine,left
Mar 15 2024,2nd Annual 'Run For Ukraine' In Darien Granted Final Approval,center
Dec 01 2023,War Destroying Ukraine's Cultural Heritage at Scale 'Not Seen Since WWII',center
Dec 28 2023,"With hopes of victory fading, Ukraine’s war against Russia could get even harder in 2024",center
Feb 27 2024,Macron's Ukraine troop talk shakes up NATO allies,center
Mar 05 2024,Air Force civilian employee charged with relaying classified intel on Ukraine on dating site,center
Oct 15 2023,"Biden: Backing Israel, Ukraine Wars Won't Overwhelm US",right
Mar 12 2024,Expanding the drug war to include tobacco would be a big mistake,right
Mar 12 2024,War in Gaza casts long shadow over Ramadan in Utah,center
Oct 13 2023,Online Video Misrepresents Ukraine’s Conscription of Women in War with Russia,left
Jul 13 2023,Only Weapons Can End the Ukraine War,right
Dec 12 2023,"Live updates: Zelensky and Biden visit in Washington, DC, amid Russia's war in Ukraine",left
Dec 11 2023,Ukraine war: Zelensky heads to US in bid to rescue $60bn military aid,center
Mar 08 2024,"Israel-Hamas War: Updates, Tracking Misinformation, and More",not rated
Mar 08 2024,Meet the IDF women on the front lines of the Gaza war,center
Oct 06 2023,Hubris’ Downfall: The Hard Road Ahead for the Russia-Ukraine War,center
Mar 13 2024,NH Veterans Home to hold Vietnam War Veterans Day ceremony,center
Mar 13 2024,GOP seeks to unite warring factions ahead of tough legislative fights,center
Mar 14 2024,Johnson faces make-or-break moment on Ukraine aid as pressure mounts,left
Feb 08 2024,Ukraine war live updates: Tucker Carlson reportedly leaves Russia; Kyiv silent on ex-Fox News host's interview request after criticism,center
Dec 30 2023,Russia fires 122 missiles and 36 drones in what Ukraine calls the biggest aerial barrage of the war,right
Mar 14 2024,Delaware man pleads guilty to 2015 murder that sparked deadly gang war,left
Mar 13 2024,"Polish farmers backtrack on fully unblocking Ukraine border crossing, PAP reports",center
Mar 14 2024,FBI Warns Gaza War Will Stoke Domestic Radicalization “For Years to Come”,left
Feb 27 2024,Joe Biden’s Inane War on Packaging,right
Aug 24 2022,"The Ukraine war, six months on",left
Mar 04 2023,The Disturbing Groupthink Over The War In Ukraine,left
Mar 14 2024,Russia says it shot down seven Ukraine-launched missiles over Belgorod region,center
Feb 24 2024,We must not abandon Ukraine now,right
Feb 23 2023,A global divide on the Ukraine war is deepening,left
Feb 15 2024,Biden is ‘a war criminal’: Independent candidate Cornel West,center
Mar 03 2024,Four killed by Russian drone attack on Ukraine's Odesa,center
Nov 28 2023,'At what cost?' Ukraine strains to bolster its army as war fatigue weighs,center
Feb 27 2024,NATO denies plans to send troops to Ukraine,left
Feb 17 2024,"Avdiivka, Longtime Stronghold for Ukraine, Falls to Russians",left
Mar 27 2023,"As Ukraine war drags on, NATO steps up war readiness",center
Feb 13 2024,Senate passes Ukraine funding in predawn vote,center
Mar 02 2024,Oregon’s Making a Terrible Mistake in Rebooting the Drug War,left
Mar 13 2024,Israel’s Record War Budget Gets Final Nod After Last-Minute Snag,left
Mar 05 2024,Israel-Hamas truce talks stall as war in Gaza grinds on,left
Apr 30 2023,Pope's visit to Hungary dominated by Ukraine war,center
Mar 13 2024,Pentagon will give Ukraine $300 million in weapons even as it lacks funds to replenish US stockpile,left
Feb 15 2022,Enough with the Ukraine war predictions,left
Sep 25 2023,Ukraine war effort aided by arrival of U.S. Abrams tanks as Ukraine claims to kill Russian fleet commander,left
Mar 14 2024,A Window  on the Past – South Portland World War II shipyards lecture scheduled for March 23,center
Feb 23 2024,"Biden announces 500 sanctions against Russia as payback for war, Navalny",right
Mar 04 2024,Kamala Harris to Meet Top Israeli War Cabinet Official,left
Feb 13 2024,Senators Smuggle Migration Funds into Ukraine Aid Bill,right
Mar 13 2024,Palestinian community leaders refuse to meet with White House officials in Chicago in protest of Gaza war,left
Mar 15 2024,"Massachusetts family finds looted World War II artifacts, FBI Boston returning them to Japan",right
Jun 28 2023,Russia’s Mutiny Shows Ukraine Can Win the War,left
Mar 15 2024,N.J. town wants artificial turf fields on land that some say has Revolutionary War history,center
Sep 23 2023,Ukraine War Aid Will Be Exempt From Potential Government Shutdown Fallout,right
Mar 13 2024,Wine & Girl Scout cookies pair nicely at Vino Third War event starting this Thursday,center
Jun 06 2023,Russia-Ukraine War: Flooding From Destroyed Dam Engulfs Communities in Southern Ukraine,left
Feb 02 2024,Why America Can't Give Up on Ukraine,left
Mar 12 2024,EU preparing $8 billion aid package for Egypt amid fallout from Gaza war,center
Feb 24 2024,Fact-Checking Trump and Haley’s War of Words,left
Feb 17 2024,Ukraine makes major troop withdrawal in key win for Putin and Russia,right
Oct 16 2023,Biden Says US Can Sustain Support for Both Israel and Ukraine in Wars,right
Sep 23 2022,Why Russia is Losing the War in Ukraine,left
Oct 14 2023,"North Korea Shipping Military Equipment to Russia for Ukraine War, US Says",center
Feb 17 2024,Zelenskyy ready to take Donald Trump to Ukraine’s front line,center
Jun 27 2022,Ukraine war: G7 pledges to stay with Ukraine until the end,center
Feb 13 2024,"Senate Passes Aid to Ukraine, but Fate Is Uncertain in a Hostile House",left
Feb 10 2024,Tucker Carlson Duped By Putin in Bid To Weaken Support For Ukraine,center
Feb 27 2024,NATO allies push back after Macron floats idea of sending troops to Ukraine,right
Mar 07 2024,"Trump counters Biden's claims on Ukraine, NATO, Jan. 6 Capitol riot, COVID-19",right
Mar 11 2024,"Accepting Oscar, Glazer says don’t use our Jewishness and Holocaust to justify Gaza war",center
Mar 11 2024,Director Who Won Oscar For Holocaust Film Smears Israel Over War Against Hamas,right
Feb 23 2023,Ukraine braced for attacks on eve of war anniversary,center
Feb 08 2024,Attempt for Ukraine aid fails,left
Mar 03 2024,Star Wars and Gremlins actor Mark Dodson dies aged 64,left
Mar 08 2024,Hochul defends deploying National Guard in NYC subways after ‘war zone’ backlash,right
Oct 31 2023,"Biden urged aid for Israel, Ukraine. He didn’t declare World War III",left
Feb 13 2024,Zelenskyy Hails Senate Passing $61 Billion in Aid to Ukraine,right
Feb 28 2024,Uncommitted voters in Michigan made clear their disgust with Biden and the war,left
Feb 23 2024,"Biden Slaps 500 New Sanctions on Russia over War, Navalny Death",center
May 16 2023,Ukraine war: Kyiv hit by 'exceptional' number of missiles,center
Oct 26 2023,Neocons Fear Speaker Mike Johnson Could Bring An End To Ukraine War Cash,right
Jun 26 2022,The Soviet Past in Putin’s War on Ukraine,right
Jul 17 2023,Tucker Carlson Challenges Chris Christie Over Ukraine War,right
Aug 30 2023,Ukraine war: Wave of drone strikes hits several Russian regions,center
Jan 19 2023,Russia threatens nuclear war if it loses in Ukraine,right
Nov 11 2023,Wars in Israel and Ukraine complicate APEC summit as Biden prepares to meet with China's Xi Jinping,right
Mar 03 2024,Israel-Gaza war: Kamala Harris urges more aid for starving Gazans,center
Mar 12 2024,"Haitian Prime Minister Resigns, Caving to Street Gangs Who Vowed Civil War Unless He Left",right
May 06 2022,"The War in Ukraine, as Seen on Russian TV",left
Oct 20 2023,Israel war: Biden supplemental funding request includes $75 billion for Ukraine and Israel,right
Mar 07 2024,Eight high school students ruthlessly shot at bus stop: ‘Philly is now a war zone’,right
Feb 28 2024,"Walmart Is Beginning To Look Like Amazon, Winning The War Of Unified Commerce",center
Apr 12 2023,Ukraine war: President Zelensky condemns beheading video,center
Mar 21 2022,The History Behind Putin’s War in Ukraine,left
Aug 14 2023,Russian Ruble at Weakest Level Since Early Days of Ukraine War,center
Apr 08 2023,A second front in Ukraine’s war: The battle against corruption,center
Mar 04 2024,Netanyahu Reportedly Rebukes War Cabinet Minister For Making US Trip ‘Without Authorization’,right
Mar 10 2022,5 potential outcomes for the Russia-Ukraine war,center
Mar 16 2023,One Year After the Ukraine War: Economic Implications of a Potential War in the Taiwan Strait,right
Feb 13 2024,McConnell to Speaker: Vote on Ukraine Aid Package,right
Jul 31 2023,Ukraine war live updates: Ukraine and Russia struck by drones overnight; West-led peace talks in the pipeline,center
Feb 13 2024,"Senate approves Ukraine, Israel aid correction",center
Feb 13 2024,Speaker Johnson rebuffs Senate Ukraine package,center
Feb 28 2024,Republicans Who Backed McConnell’s Ukraine Boondoggle Don’t Deserve To Replace Him,right
Feb 08 2024,US Senate Backs Ukraine Aid in Test Vote But House Is Obstacle,left
Feb 20 2024,"American ballerina with dual citizenship arrested in Russia, facing life in prison for donating $51 to Ukraine",right
Aug 01 2023,BP profits drop after Russia-Ukraine war windfall fades,center
Mar 16 2023,Russia’s War Against Ukraine is Catalyzing Internet Fragmentation,left
Feb 29 2024,Army Cutting Thousands of Jobs in Preparation for Possible Future War - The Michigan Star,right
Oct 16 2022,How Ukraine is winning the social media war,center
Jul 31 2023,Ukraine war: Same Moscow skyscraper hit in new drone attack,center
Oct 17 2022,Ukraine war: Kyiv attacked by 'kamikaze' drones,center
Jun 05 2023,Ukraine war: Russia says it thwarted major Ukrainian offensive,center
Jan 25 2024,Ukraine Searches for Answers on Russian Plane Crash,left
Feb 13 2024,"Biden, Jordan’s king confer on Gaza war",left
Feb 17 2024,Warring African Migrant Groups Torch Police Cars,right
Jul 25 2023,Ukraine war: Russia expands pool of men eligible for call-up,center
May 30 2023,Ukraine war comes to Moscow as drones strike both capitals,center
Feb 20 2024,Russia arrests dual US citizen for Ukraine-linked ‘treason’,left
May 30 2023,Ukraine war: Moscow drone attacks targeted civilians - Putin,center
Feb 24 2023,Biden at leadership crossroads in Ukraine on anniversary of Russia's war,right
Feb 27 2024,US Army is slashing thousands of posts in major revamp to prepare for future wars,left
Jul 22 2023,Ukraine war: At least one killed in new Russian strikes on Odesa,center
May 22 2023,Ukraine war: Russia battles armed group in border region,center
Feb 27 2024,Great stakes: Key demographics for Biden in Michigan scrambled by Israel-Hamas war,right
Feb 20 2024,Dems face new divisions over Israel-Hamas war,left
Feb 17 2023,Leaders focus on Ukraine war at Munich Security Conference,left
Sep 15 2022,Ukraine's Counteroffensive: Turning Point in War With Russia?,not rated
Jan 24 2024,Russian Military Plane Crashes Close to Ukraine,center
Feb 05 2024,Inside Utah’s war on social media,center
Feb 23 2023,What Biden's Surprise Ukraine Visit Means for the War,not rated
Feb 13 2024,"US Senate passes $95bn package of aid for Ukraine, Israel and Taiwan",center
Feb 07 2024,Senate to vote on Plan B: Ukraine funding without border security,center
Mar 05 2024,Series of explosions 'was like a war zone' as Clinton Township incident left debris 2 miles away,center
Aug 24 2022,"6 Months Into War, Ukraine and Russia Are Both Reshaped",left
Feb 14 2024,UK Urges US Congress To Approve Ukraine Aid,center
Feb 12 2024,"Russia uses Zircon hypersonic missile in Ukraine for first time, researchers say",center
Aug 23 2023,"White House tells Ukraine, allies that Congress will back more war aid",left
Sep 22 2023,Ukraine war map shows Crimea strikes amid Black Sea headquarters damage,center
May 08 2023,Ukraine war: Russia launches 'biggest' kamikaze drone attack,center
Feb 13 2024,"Senate approves Ukraine, Israel foreign aid package",left
Jul 08 2023,"Amid Ukraine War and Internal Spats, NATO Seeks Show of Unity",center
Feb 27 2024,White House warns Ukraine situation is ‘very dire’ after talks with congressional leaders,center
Feb 20 2024,LA Woman Arrested For Treason In Russia For Ukraine Support: Russian Authorities,center
Jul 02 2023,"CIA director, on secret trip to Ukraine, hears plan for war’s endgame",left
Feb 20 2024,LA Woman Arrested in Russia After Giving 50 Bucks to Ukraine,left
Feb 20 2024,Russia Detains US Dual National on Treason Charge Over Ukraine,left
Jun 21 2022,3 key takeaways from the Russia-Ukraine war,center
Jan 15 2024,UN Seeks $4.2 Billion For Ukraine Aid In 2024,center
Jan 24 2024,Ukraine investigating plane crash that Russia claims killed POWs,left
Feb 27 2024,Biden’s campaign expected anger over handling of Gaza war to fade by now. It hasn’t,center
Feb 24 2024,Netanyahu’s post-war plan for Gaza Strip draws cool US reception,center
May 31 2022,The war in Ukraine is fuelling a global food crisis,center
May 26 2022,Russia’s War in Ukraine Enters ‘Grinding Phase’,center
Dec 06 2023,Thursday Biden Threatens to Deploy US Troops to Fight Russia Unless Congress Passes $100 Billion Ukraine War Funding,right
Mar 04 2024,Vice President Harris hosts Israeli war Cabinet member as the US pushes to get more aid into Gaza,not-yet-rated
Apr 08 2023,Leaked Pentagon documents reveal U.S. efforts in Ukraine war,center
May 16 2022,The Ukraine war is creating a jobs crisis in Russia,center
Feb 14 2024,Russian Warship Ablaze in Ukraine's Latest Black Sea Triumph,center
Feb 08 2024,"Zelensky Removes His Top General, in Major Shake-Up of Ukraine Military",left
Oct 04 2023,Ukraine war: US gives 1.1 million rounds of ammunition seized from Iran to Kyiv,center
Apr 05 2023,An emboldened NATO provides a bittersweet moment for war-torn Ukraine,center
Jul 10 2023,Russia-Ukraine war live updates: Ukraine tops NATO summit agenda after Turkey backs Sweden’s membership,left
Apr 18 2023,Russia pulls mothballed Cold War-era tanks out of deep storage as Ukraine war grinds on,left
Jun 12 2023,Ukraine war: Russia moves to take direct control of Wagner Group,center
Feb 14 2024,UK’s Cameron Urges US Congress to Vote for Ukraine Package,left
Mar 07 2024,NYPD patrol chief rips Gov. Hochul for sending National Guard to NYC subways: ‘Our transit system is not a war zone’,right
Feb 13 2024,Senate Passes Ukraine Aid Bill After Republicans Pull All-Nighter Delaying Passage,right
Feb 25 2024,"Man set himself on fire outside Israeli Embassy, reportedly over war in Gaza",center
Mar 25 2022,Is Victory for Ukraine Worth Risking Nuclear War?,right
Feb 13 2024,"How each senator voted on the Ukraine, Israel aid package",left
Mar 30 2022,How to spot disinformation around the war in Ukraine,center
Feb 13 2024,"Despite Senate Passage, Aid for Israel, Ukraine Left Uncertain",left
Feb 15 2024,California’s Push for Ethnic Studies Runs Into the Israel-Hamas War,left
Feb 13 2024,"U.S. Senate passes Ukraine aid bill, sends to House",center
Mar 24 2022,How the Ukraine war could go nuclear,left
Feb 15 2024,Macron to host Jordan’s King Abdullah for talks on Hamas war,center
Feb 12 2024,"Sullivan votes to advance Ukraine aid bill, saying the money will boost America's industrial base",center
Feb 12 2024,JD Vance: Ukraine Aid Package Creates Impeachment Risk for Trump in 2nd Term,right
Mar 17 2022,Ukraine war: Russians grieve for fallen soldiers,center
Mar 14 2022,How the war in Ukraine hurts the U.S. economy,left
Mar 07 2022,TikTok Is Gripped by the Violence and Misinformation of Ukraine War,left
Feb 12 2024,Ukraine Says Russia Uses Musk’s Starlink Terminals at Front,left
Mar 08 2022,An International Relations Theory Guide to the War in Ukraine,center
Feb 07 2024,Ukraine aid in danger as Republicans struggle to chart course,left
Feb 20 2024,"US-Russian dual citizen arrested for treason, accused of collecting funds for Ukraine",left
Feb 12 2024,Senate advances Ukraine aid bill despite Trump opposition,center
Feb 16 2024,Putin Killed Navalny And Now The World Must Crush Him In Ukraine,left
Feb 15 2022,Ukraine crisis: Is Russia waging an information war?,center
May 24 2023,Ukraine war: US distances itself from Belgorod incursion into Russia,center
Date not found,Ukraine War,not rated
Mar 02 2023,Blinken and Lavrov meet for first time since Ukraine war,center
Oct 13 2023,"US says North Korea delivered 1,000 containers of equipment and munitions to Russia for Ukraine war",left
Aug 23 2023,"Russia-Ukraine War: In New Shock in Russia, Plane Linked to Mercenary Leader Plummets",left
Jul 14 2023,Editor Daily Rundown: Biden Deploys Thousands Of Reservists To Support Ukraine War,right
Feb 12 2024,Biden hosts Jordan king for talks on Israel-Hamas war,not-yet-rated
Feb 12 2024,Biden hosts Jordan king for talks on Israel-Hamas war,center
Feb 12 2024,Biden discusses Gaza war and hostages with Jordan’s king in Washington,center
Feb 02 2024,Crimea 'trap' to sink Russian warship revealed in Ukraine sea drones video,center
Aug 18 2023,"Troop Deaths and Injuries in Ukraine War Near 500,000, U.S. Officials Say",left
Feb 11 2024,Two Years Of War: Ukrainian Refugees Face Lasting Exile,center
Feb 19 2024,"As Gaza war rages, top U.N. court to hear arguments on Israeli occupation",left
Oct 08 2023,"Trump says Hamas attack on Israel, war in Ukraine would not have occurred if he were president",center
May 08 2023,Great news: Biden asks China to solve the Russia-Ukraine war,right
Jul 18 2023,"Russia-Ukraine war live: arresting Vladimir Putin on visit would amount to ‘declaration of war’, South African president says",left
Feb 13 2024,"The 22 Republicans who broke with their party on Ukraine, Israel aid package",left
Jul 12 2023,"Ukraine war live updates: G7 to announce security guarantees for Ukraine; Kremlin 'struck' by speed of Sweden, Finland NATO accession",center
Sep 13 2023,"Ukraine live briefing: North Korea’s Kim praises war, will tour Russian aviation factories",left
Jan 29 2024,Tens of Millions in Additional Fraud Uncovered in Ukraine,right
Feb 13 2024,"US Senate Passes Ukraine Aid Bill, Likely To Be Rejected In House",center
Feb 18 2024,Tlaib Calls For Protest Vote Against Biden Over Israel-Hamas War,right
Feb 13 2024,US Senate passes long-delayed bill for aid to Ukraine and Israel,left
Feb 08 2024,Putin Takes Hard Line on Ukraine in Tucker Carlson Interview,left
Feb 26 2024,Man charged in connection with property damage during West Hartford rally over Israel-Hamas war,center
Feb 12 2024,"Russian occupiers are using Elon Musk’s Starlink in Ukraine, officials say",right
Feb 05 2024,Misinformation Watch: Did Slavery Cause the Civil War?,not rated
Jan 25 2024,Fatal plane crash spotlights Russia and Ukraine's battle to control the skies,left
Feb 07 2024,"Senate to Vote on Ukraine, Israel After Border Measure Fails",center
Feb 05 2024,Schumer Threatens America: Pass Open Borders Bill or We’ll Send Your Kids to Die in Ukraine.,right
Feb 23 2024,Netanyahu’s first post-war plan seeks security buffer in Gaza — in blow to U.S. diplomacy,center
Jul 28 2022,"Blood, Treasure And Chaos: The Cost Of Russia's War In Ukraine",center
Feb 07 2024,Tucker Carlson Now On Ukraine’s ‘Kill List’ For Interviewing Putin,right
Apr 18 2023,Russia Was Supposed to Get Egyptian Rockets for Their War in Ukraine. They Never Came.,right
Feb 20 2024,UN resolution demanding cease-fire in Israel-Hamas war will face U.S. veto,center
Feb 05 2024,"Biden Says He Will Veto Standalone Israel Bill As Congress Debates Border, Ukraine Funding",right
Aug 01 2023,Drones hit glitzy Moscow buildings as Ukraine says Russians should feel war,left
Feb 21 2024,Biden wants people to know most of Ukraine aid would actually go to US factories,center
Feb 20 2024,Georgia Governor Brian Kemp says he's been INTERVIEWED by Jack Smith,right
Feb 19 2024,Netanyahu Declares That Israel ‘Outright Rejects’ Possibility of Palestinian Statehood after Hamas War,right
Jan 03 2024,Ukraine and Russia in 'biggest prisoner swap' so far,center
Feb 14 2024,America’s Senate agreed to provide more funding to Ukraine. But the battle is not yet won,left
Feb 13 2024,‘Pass This Bill Immediately’: Biden Calls for House Vote on Ukraine Aid Package,right
Jun 06 2023,Vivek Ramaswamy willing to give 'major concessions to Russia' to end Ukraine war,right
Jun 02 2022,The pollution from Russia’s war will poison Ukraine for decades,left
Mar 29 2023,What US weapons tell us about the Russia-Ukraine war,left
Feb 13 2024,Both Louisiana Republican senators vote for Ukraine aid package opposed by Trump,center
Jul 18 2023,Ukraine war live updates: Russian drone and missile volley hits southern Ukraine; Crimea bridge partially reopens after attack,center
Feb 13 2024,"Senate passes aid package for Ukraine and Israel, but its future is uncertain in House",left
Sep 20 2023,"Isolated by West over Ukraine war, China has no choice but to be closer to Russia, says Chinese expert",center
Feb 16 2024,Biden claims arrested FBI informant is lying about Biden family bribes in Ukraine,right
Sep 20 2023,Russia-Ukraine war live updates: Zelensky to speak at U.N. Security Council in potential Lavrov showdown,left
Feb 20 2014,Ukraine Is On the Verge Of War And Putin Is To Blam,left
Aug 24 2023,Russia-Ukraine War: U.S. Officials Say It Appears Likely Putin Ordered Prigozhin Killed,left
Feb 01 2024,Will America Get Pulled Into Another War in the Middle East?,not rated
Feb 12 2024,Vance argues Ukraine aid bill contains ‘impeachment time bomb’ for Trump,right
Apr 28 2022,Fears Are Mounting That Ukraine War Will Spill Across Borders,left
Mar 20 2023,China's Xi arrives in Russia to meet Putin over Ukraine war,center
Mar 16 2023,Russia’s War on Ukraine Is a Wake-Up Call to Prepare for the China Fight,right
Jun 08 2023,Ukraine war live updates: Heavy fighting underway in eastern Ukraine; Kyiv calls for help as first flood deaths reported,center
Jan 18 2024,Michigan GOP Civil War Escalates,center
Jan 24 2024,"Russia Vectored A 100-Ton Cargo Plane To Belgorod, 20 Miles From Ukraine. So Of Course Ukraine Shot It Down.",center
Nov 23 2022,Ukraine war: How Germany ended reliance on Russian gas,center
Feb 27 2024,Biden faces anger from key Arab-American voters in Michigan primary over Israel support in Gaza war,center
Jul 14 2023,"Biden Orders 3,000 Reserve Troops to Active Duty in Response to Ukraine War",right
Jul 14 2023,Biden authorizes Pentagon to deploy 3K reserve troops to Europe in response to Ukraine war,right
Jan 21 2024,Zelensky hits Trump over rhetoric around war with Russia: ‘Very dangerous’,center
Mar 31 2022,"9 big questions about Russia’s war in Ukraine, answered",left
Feb 07 2024,"After whiffing on border security, Senate eyes billions more for Ukraine",right
May 23 2023,Ukraine war: Insurgents defeated after rare cross-border raid - Russia,center
May 22 2023,Ukraine war: Satellite images reveal Russian defences before major assault,center
Jul 10 2023,Ukraine's Volodymyr Zelenskyy Shuts Down Trump's Boast About Ending War In 1 Day,left
Mar 22 2022,UN Chief Calls Russia-Ukraine War 'Unwinnable',center
Feb 26 2024,"Biden hopes cease-fire, hostage deal to pause Israel-Hamas war can take effect by next Monday",left
Sep 13 2023,"Kim Jong Un, Putin Discuss Military Cooperation, Space Tech, And Ukraine War At Russian Summit",right
Jul 11 2023,Ukraine war: Russian ex-navy commander shot dead while jogging in Krasnodar,center
May 21 2023,Fog of War: Zelensky Says Russia 'Razed' Ukraine City but It Isn't Lost,right
Jul 09 2023,Ukraine marks 500 days of war by admitting it blew up Russia's bridge to Crimea,left
Mar 17 2022,Biden’s China ‘pivot’ complicated by Russia’s war in Ukraine,left
Mar 16 2022,China's Behind-the-Scenes Role in Ukraine War,center
Jul 07 2023,White House weighs Ukraine powerful ‘war crime’ cluster munitions in stunning reversal,right
Mar 10 2022,Russian Americans face misdirected blame for war in Ukraine,center
Feb 28 2024,"More Than 100,000 Voters Cast ‘Uncommitted’ Ballots in Michigan Primary Over Biden’s Handling of Israel-Gaza War",right
Feb 28 2022,"As war in Ukraine rages, Russians look on with increasing dismay",center
Feb 08 2024,Jordanian king to meet Biden on efforts to end Israel-Hamas war,center
Jul 06 2023,Russia Warns Ukraine Plans to Draw U.S. Into 'World War III' After Setbacks,center
Feb 01 2024,Ukraine's Navy explains importance of sinking Russian ship in Crimea,center
Feb 28 2022,Russia Is Trying to Block Ukraine War Footage on TikTok,left
Feb 20 2024,Russia arrests dual US-Russian citizen for allegedly trying to raise funds for Ukraine’s military: report,right
Feb 24 2023,"US announces new Ukraine aid, Russia sanctions on war anniversary",left
Feb 24 2023,How Entangled Is Vladimir Putin's Fate With The Outcome Of The Russia-Ukraine War?,left
Mar 01 2022,War in Ukraine? Here’s why it should matter to you,center
Feb 18 2024,Tlaib encourages Democrats to vote against Biden in Michigan primary over Gaza war support,right
Feb 20 2024,Russia says U.S.-Russian woman arrested over suspected treason for helping Ukraine's armed forces,left
Aug 11 2023,Ukraine backers want Biden to amp up his pitch for the war effort to the American public,left
Feb 10 2024,Ukraine puts Tucker Carlson on a ‘hit list’ after an interview with Vladimir Putin.,left
Feb 15 2024,Elon Musk war on Delaware may change how companies make big decisions,left
Feb 01 2022,"Bomb shelters, guerrilla war: Building Ukraine's resistance",left
Feb 13 2024,Senate passes bipartisan aid package for Ukraine and Israel but House GOP digs in heels,left
Feb 13 2024,Senate passes Ukraine-Israel aid deal backed by Susan Collins and Angus King,left
Feb 05 2024,"Flexing Clout, Trump Pressures Republicans To Kill Ukraine Aid Deal",center
Aug 07 2023,"Ukraine has downed 5,500 air targets since start of war, says Zelensky",center
Feb 09 2024,"Classified Documents Relating to Ukraine Found in Biden’s Office, Special Counsel Reveals",right
Jun 26 2023,How Wagner's short-lived mutiny could shape the direction of Russia's war in Ukraine,center
Sep 21 2022,Shoigu said that 5937 Russian soldiers died in the war in Ukraine,not-yet-rated
Feb 04 2023,Russia State TV Admits Ukraine War Plan 'Failed Completely',center
Feb 06 2024,"Mattis secretly advised Arab monarch on Yemen war, records show",left
Feb 04 2024,"Senate Reveals Bipartisan Border Deal, Includes Aid for Israel and Ukraine",right
Sep 15 2022,Counting Russia's Staggering Losses 200 Days into Ukraine War,center
